书名,授权级别,作品类别,本周点击,本月点击,本周更新,本月更新,周推荐票,月推荐票,人次,字数,更新天数
神魔觉醒之时,授权作品,奇幻修真,6,6,5289,5289,0,0,6,5289,1
恶魔与他的天使女友,驻站作品,魔法校园,8,41,9431,43240,0,0,41,39630,1
超兽武装之风起云涌,驻站作品,异术超能,94,817,6633,41877,0,7,5326,335188,2
带着军队闯末世,驻站作品,末世危机,23,85,18432,81949,0,0,85,86886,12
环宇之行,驻站作品,古武机甲,7,7,5227,5227,0,0,7,5227,1
狂婿之死神归来,签约作品,都市重生,158,1631,33235,216979,42,323,34886,1179976,185
我的懒猫美女主播,专属作品,都市生活,11,11,36481,36481,0,0,11,36481,1
塔罗林存在,驻站作品,都市激战,11,11,24319,24319,0,0,11,23915,3
网游：从一把剑开始进化,签约作品,虚拟网游,146,501,33054,182646,7,26,522,196860,29
超级妖兽系统,专属作品,洪荒封神,12,80,8108,244232,0,0,80,244232,14
无敌：从我是一只猫开始,签约作品,都市重生,101,587,25892,169898,21,89,824,322457,51
穿越民国之少帅春秋,驻站作品,历史穿越,67,514,6397,130593,0,5,741,476413,1
重生之幕后为王,签约作品,都市重生,53,277,19163,75245,0,0,1762,1011188,3
天体与生命,驻站作品,未来幻想,5,14,4146,18161,0,0,41,73950,目前在拼命写作中
逆天回归,驻站作品,现代修真,27,162,8025,1109633,0,0,162,1103213,20
我从地狱来,签约作品,奇幻修真,7,99,25770,124907,0,0,254,191926,45
都市全能仙尊,签约作品,都市异能,126,655,38415,244879,0,0,13137,1917323,25
逆生死破九天,驻站作品,奇幻修真,3,20,4667,45997,0,0,48,97430,48
暴乱都市,驻站作品,校园风云,2,14,88,364,0,0,54,7096,11
都市最强豪婿,签约作品,都市异能,114,1220,24777,166850,454,1995,5762,367167,73
湮灭：时间游戏,签约作品,末世危机,14,53,19341,52455,0,2,53,52462,10
大唐：从种土豆开始,签约作品,历史穿越,1004,8659,16764,180275,121,482,28948,743829,87
星辰典录,授权作品,异界大陆,60,591,8248,30699,21,24,591,30699,13
直冲云霄,驻站作品,奇幻修真,4,4,3039,3039,0,0,4,3039,1
划破长空的飞刀...之一,驻站作品,都市激战,45,573,50086,272074,21,36,1303,530121,3
都市修仙避坑指南,驻站作品,都市重生,3,3,23120,23120,0,0,3,23120,1
幻想新世,驻站作品,异世争霸,0,0,2134,2134,0,0,0,2134,目前在拼命写作中
网游：开局一本北冥神功,签约作品,虚拟网游,99,137,13248,39188,9,9,137,39417,8
我在十万游戏世界无敌了,签约作品,异世争霸,39,1402,9767,58320,0,66,1872,187345,70
我真不想做大师兄,驻站作品,奇幻修真,15,31,18642,41499,0,0,31,41499,6
盖世群英,签约作品,奇幻修真,80,482,12199,82178,3,17,36822,3407831,208
我家地球连诸天,签约作品,东方玄幻,12,98,21607,160529,0,0,104,163965,27
黑骑,签约作品,末世危机,562,3270,8512,52403,6,311,589618,2636063,194
都市雷霆战神,签约作品,都市异能,12,138,8639,105321,0,0,180,141094,34
混沌书,签约作品,奇幻修真,3,16,13208,122651,0,0,16,122651,18
平步青云,签约作品,都市生活,13547,115398,31077,204959,930,6081,129136,262535,30
逃离试验场,驻站作品,都市异能,1,10,12580,77543,0,0,76,362930,5
今夜与你共沉沦,签约作品,都市生活,80,649,15057,111960,0,21,2125,410889,73
重生之信息时代,授权作品,都市生活,9,19,14867,45220,0,0,19,45220,6
都市之变身霸王龙,签约作品,都市异能,23,214,20652,137422,214,810,7984,922894,136
帅就完事了,签约作品,都市异能,14,93,12441,92274,7,35,93,92274,19
周书宇的奇特人生,签约作品,东方玄幻,12,55,12377,83243,14,55,630,495694,131
韶阳,驻站作品,异界大陆,9,9,6065,6065,0,0,9,6065,1
血族异界,驻站作品,西方奇幻,7,7,2021,2021,0,0,7,2021,目前在拼命写作中
万古第一人皇,签约作品,东方玄幻,11,68,33240,146777,0,0,862,607689,13
奴命,驻站作品,异世争霸,54,66,13882,16180,15,32,66,16177,4
搜妖记,授权作品,古典仙侠,7,7,7701,7701,0,0,7,7701,2
激荡高中生,驻站作品,校园风云,7,54,14879,74226,0,0,294,386786,3
天啊！我变成了大熊猫,签约作品,都市重生,1359,3134,14363,102511,0,50,3367,196502,49
网游之命运游戏机,签约作品,虚拟网游,9,61,8788,64975,0,0,80,82807,31
当反派逆袭成主角,签约作品,异界大陆,147,199,12763,42809,50,73,199,41091,5
羊城流浪记,驻站作品,都市生活,74,469,16003,106116,11,142,1582,254545,29
疯狂农民工,签约作品,都市生活,786,5534,8062,53300,12,73,637082,8130156,4
我的少爷是王之王,驻站作品,军旅生涯,3,3,624,624,0,0,3,624,目前在拼命写作中
烈风传第一部西风旅人,驻站作品,西方奇幻,19,210,8676,65743,0,33,1539,225451,132
逆转诸天,授权作品,东方玄幻,23,58,15128,33635,0,0,58,33638,5
法傲寰宇,驻站作品,东方玄幻,7,52,120228,690202,0,0,61,857592,22
从游戏开始的异界生活,签约作品,游戏异界,113,1534,16589,152691,0,0,6192,663278,100
万道归墟,签约作品,东方玄幻,19,186,20283,130256,21,84,4272,630818,120
全球轮回：这个剧本我看过,签约作品,都市异能,9,88,32506,85340,0,0,88,85340,15
全球轮回：这个剧本我看过,签约作品,都市异能,9,88,32506,85340,0,0,88,85340,15
狼湮之狼族之战,授权作品,古典仙侠,2,12,4418,9881,0,0,12,9881,5
武碎星荒,签约作品,异界大陆,9,81,9379,81622,0,7,4541,1549504,1
万物的主人,驻站作品,男生同人,121,981,13366,36420,7,25,12802,2926620,6
月照梅花,专属作品,都市重生,32,53,15043,52982,0,0,53,49947,目前在拼命写作中
混沌夺天,驻站作品,异界大陆,7,51,6747,64762,0,0,62,75592,27
吾定秩序,驻站作品,东方玄幻,19,29,31186,38619,0,0,29,38619,4
登帝长阶,授权作品,奇幻修真,3,10,1588,10536,0,0,10,10536,目前在拼命写作中
残天令,驻站作品,奇幻修真,4,4,2193,2193,0,0,4,2193,目前在拼命写作中
五剑情侠之落花为何物,驻站作品,历史武侠,10,10,18377,18377,0,0,10,18377,3
风与银的幻之旅,驻站作品,魔法校园,48,236,18094,93803,0,0,5961,2079605,目前在拼命写作中
镇国天王,签约作品,都市生活,59,593,6123,114385,2,170,624,152489,29
末日唤醒,驻站作品,末世危机,5,20,8901,30043,0,0,20,33126,9
我在末世解锁超级权限,签约作品,末世危机,15,161,8308,56126,0,0,351,122298,57
万古成尊,专属作品,异界大陆,8,19,17240,56803,0,0,19,56803,8
狄仁杰之复州之乱,专属作品,侦探推理,1,1,9061,9061,0,0,1,9061,目前在拼命写作中
武炼战尊,专属作品,东方玄幻,6,6,4193,4193,0,0,6,11366,1
泰阿剑魂,签约作品,奇幻修真,13,166,32332,238122,28,28,3109,1218634,38
道寻缘,签约作品,民间奇谈,30,271,8205,55663,0,0,10097,1273295,556
重生之金融秃鹫,签约作品,都市重生,224,2478,14293,103638,0,287,37112,904329,148
我在异乡混江湖的日子,签约作品,都市重生,84,235,10205,69818,5,19,1149,209100,86
忠魂卫天山,驻站作品,军旅生涯,19,19,8590,8590,2,2,19,8590,3
末日的归途,驻站作品,末世危机,7,7,22137,22137,0,0,7,22678,1
三十岁那年,签约作品,现实题材,31,165,17473,100834,0,0,165,100805,22
权谋合天下,授权作品,架空历史,0,0,2678,2678,0,0,0,2678,目前在拼命写作中
洪荒：开局捡到斩仙飞刀,签约作品,东方玄幻,233,1221,33043,91018,133,1366,1665,180546,49
九宫史记之五真乱世,驻站作品,东方玄幻,22,106,13654,158518,0,120,106,165205,17
女总裁的专属护理,签约作品,都市生活,14,42,14157,44724,0,0,42,42684,3
悬局诡探,驻站作品,侦探推理,4,23,8941,23656,0,0,211,141296,7
我！仙婿无双,签约作品,都市异能,33,494,28824,152981,7,28,779,323777,33
我！仙婿无双,签约作品,都市异能,33,494,28824,152981,7,28,779,323777,33
鬼逻辑,驻站作品,侦探推理,4,19,11585,30983,0,0,620,150275,7
蛟龙决,签约作品,历史武侠,23,120,13172,82706,0,0,206,129443,36
现代修真之我要成仙,签约作品,现代修真,50,271,43009,160353,23,73,477,305967,45
和女上司的荒岛生涯,签约作品,都市生活,79,613,22014,143897,0,11,3210,539848,120
虎婿,签约作品,都市异能,76,494,24444,184933,0,0,35445,1765622,14
全球复苏：我，熟悉未来,授权作品,进化变异,12,39,4094,25136,0,0,39,25174,目前在拼命写作中
万灵永恒,驻站作品,东方玄幻,2,16,17822,105948,0,0,74,362668,3
炎黄大帝之箭神,授权作品,异界大陆,28,68,8641,34436,1,3,68,34424,14
天庭群仙会神剑灭魔记,签约作品,洪荒封神,17,153,29009,190651,0,0,765,792560,60
修罗战神,签约作品,都市激战,127,1079,32184,234642,0,7,44130,2238815,289
以太之魂,驻站作品,异界大陆,5,5,9908,9908,0,0,5,9908,目前在拼命写作中
相携前行虚月篇,专属作品,古典仙侠,11,89,25977,197094,0,0,1326,1896842,212
六界兴歌,签约作品,末世危机,10,77,9519,53959,0,0,405,368670,6
逍遥小地主,签约作品,架空历史,757,1849,16843,123226,17,18,2067,220414,45
圣武齐天,驻站作品,东方玄幻,28,44,74896,126513,0,0,44,127923,7
桃源兵王,签约作品,都市生活,229,1889,18124,122534,21,41,28102,588478,47
混在地府当典狱长,驻站作品,东方玄幻,5,5,2450,2450,0,0,5,2450,目前在拼命写作中
三神传记,签约作品,东方玄幻,2,28,11589,85797,0,0,156,480484,49
超能仙医,签约作品,都市生活,417,2599,28663,87840,7,67,244692,1378374,202
开局就送万达广场,签约作品,都市生活,357,645,36462,236496,0,0,1159,504916,43
浩渺星河,签约作品,东方玄幻,1,10,9690,20515,0,0,146,391486,2
元灵季,驻站作品,东方玄幻,3,17,9093,23036,0,0,17,23161,11
我的聊天群不可能那么坑,签约作品,爆笑幽默,288,2110,24836,158238,5,35,23599,1272641,180
轮回之璆,驻站作品,都市异能,7,7,5591,5591,0,0,7,5591,1
万界之我武大郎也有系统,驻站作品,异世争霸,1,11,2251,11115,0,0,38,22017,目前在拼命写作中
天狐缘,签约作品,奇幻修真,8,76,12211,133371,0,0,76,133149,21
大唐：一人灭一国,签约作品,历史穿越,51,649,16854,111067,1,18,743,160446,37
末世之天选之子,驻站作品,末世危机,13,13,30197,30197,0,0,13,30197,3
我夺舍了魔道祖师爷,签约作品,东方玄幻,209,1626,25401,177845,141,952,1801,243029,37
我夺舍了魔道祖师爷,签约作品,东方玄幻,209,1626,25401,177845,141,952,1801,243029,37
初恋是带血的彩虹,驻站作品,校园风云,5,49,12457,81417,0,0,130,46783,9
我在末世有栋楼,签约作品,末世危机,18,122,10661,98728,0,0,122,98725,21
和平精英之血战巅峰,驻站作品,游戏异界,11,11,9926,9926,0,0,11,6611,1
苍穹第一天帝,驻站作品,东方玄幻,3,33,8651,55530,0,0,81,220097,17
无境战争,驻站作品,未来幻想,5,23,13705,33316,0,0,23,33316,6
我在末世建个城,签约作品,末世危机,3551,10393,17543,89893,40,154,10393,90603,17
从浮游生物开始称霸世界,签约作品,异界大陆,19,171,18292,123712,0,0,248,192895,59
特种兵王纵横都市,签约作品,都市异能,47,288,39353,252677,0,0,1928,764231,79
寒门狼婿,签约作品,都市激战,491,1439,21721,139194,440,2238,6220,513868,101
风行录,专属作品,虚拟网游,7,24,8946,20653,0,2,24,22720,8
武立山巅,驻站作品,东方玄幻,3,10,43018,78050,0,0,10,78050,7
我也成大神了,驻站作品,都市生活,10,15,12002,17308,0,0,15,17307,4
相面天师,驻站作品,都市异能,19,77,18732,142147,0,0,271,528222,1
天上金飞燕归巢,驻站作品,东方玄幻,3,22,9488,87471,0,0,45,205669,44
残忆旅人,驻站作品,游戏异界,4,31,14333,117260,0,0,177,423342,30
神迹降临,驻站作品,异术超能,17,22,226442,307246,0,0,22,307251,5
女神的上门狂婿,签约作品,都市生活,37,532,36386,246342,0,0,712,457389,45
此刻，举国随我飞升,签约作品,都市异能,19,126,22227,167792,7,21,126,167792,17
蓝色家园梦,签约作品,时空穿梭,17,137,5818,48026,21,84,3363,686634,206
天下万道,驻站作品,东方玄幻,121,142,51278,82110,0,0,142,55295,8
绿茵江湖,驻站作品,天下足球,17,108,154385,570417,0,0,837,788829,21
发财帝国,驻站作品,宅系小说,6,47,10690,97508,0,0,47,97508,8
和美女总裁的荒岛生涯,签约作品,都市生活,173,1465,17763,133529,10,21,15314,1087482,185
百诡夜宴,签约作品,民间奇谈,113,929,12292,82639,126,385,19292,1334962,287
生人禁地,签约作品,恐怖悬疑,75,428,22537,211402,27,93,1521,577297,62
我不是武大郎,签约作品,职场励志,68,891,19410,132604,98,500,3456,342598,89
砸进纷乱中,签约作品,历史穿越,21,210,8252,55640,0,7,4600,1456350,288
我家掌门太牛皮了,驻站作品,奇幻修真,16,39,15162,29512,5,5,39,29648,6
系统逼我当男神,签约作品,都市生活,382,8398,20611,183337,0,267,11400,483922,82
星游记之我要飞,驻站作品,男生同人,45,254,14492,38688,7,28,22231,373922,12
傲然武天,驻站作品,异世争霸,2,12,9485,46713,0,0,12,46713,6
大侦探双子,驻站作品,侦探推理,44,194,13940,91425,22,54,194,91426,26
我老姐实在太有钱了,签约作品,都市生活,2187,4193,17388,122492,68,256,4529,326641,73
世界阵图,驻站作品,东方玄幻,6,21,49962,274049,0,0,21,274049,3
偷香窃玉,签约作品,现实题材,1049,10112,15353,105132,28,158,87399,814305,10
我的手下有点儿彪,驻站作品,男生同人,11,56,8171,50898,0,0,56,50905,20
全民虚拟,驻站作品,游戏异界,6,17,27821,36189,0,0,17,36191,7
魔决狂刀,签约作品,古典仙侠,14,74,23,41230,0,21,1538,131586,目前在拼命写作中
生死簿APP,驻站作品,都市异能,6,6,11715,18664,0,0,13,14644,2
天职与使命,专属作品,战史风云,11,24,11002,18499,0,0,24,16305,6
网游：从新手村开始无敌,签约作品,虚拟网游,402,4427,14328,126262,213,1078,11647,600425,81
末世之融合进化,驻站作品,进化变异,1,12,2196,36784,0,0,59,44672,目前在拼命写作中
阴行风水师,签约作品,民间奇谈,78,614,23720,129322,0,2,1191,385145,86
修真之大浪淘沙,驻站作品,奇幻修真,9,9,12496,12496,0,0,9,12496,2
你最好谁都别信,驻站作品,侦探推理,6,6,4540,4540,0,0,6,4540,1
论一个系统的重要性,专属作品,都市异能,7,7,3118,3118,0,0,7,3118,1
特种兵:开局吊打范天雷,签约作品,都市异能,30,108,8148,18397,8,22,108,18397,7
潇洒公子哥,驻站作品,都市生活,9,19,7925,42004,0,0,19,41500,3
都市：开局选择就变强,签约作品,都市生活,50,230,18312,121000,0,9,237,127284,28
魔王之子在人间,签约作品,都市异能,19,66,8278,63752,0,0,3542,893221,169
仙人之后,驻站作品,历史武侠,22,27,31452,51728,0,0,27,51728,4
九州修罗,签约作品,古典仙侠,55,790,18395,135751,11,58,1646,348382,72
修灵界之降临世界,签约作品,东方玄幻,27,305,8925,80716,15,155,305,82770,23
网贷孽债,驻站作品,现实题材,13,48,15535,50203,0,0,48,50203,11
西游天机,授权作品,东方玄幻,8,37,8249,29453,0,0,37,29452,10
最强战王归来,签约作品,都市生活,34,184,37758,220627,0,26,674,575709,23
冒牌赘婿,签约作品,都市生活,94,320,8172,55086,0,5,1723,217958,104
我成了玉帝粉丝群管理,签约作品,都市异能,613,4266,20031,138959,26,120,6403,411423,81
我收购了天庭,签约作品,都市异能,14,108,8284,73675,0,0,172,113679,45
修灵界之降临世界,签约作品,东方玄幻,27,305,8925,80716,15,155,305,82770,23
网贷孽债,驻站作品,现实题材,13,48,15535,50203,0,0,48,50203,11
西游天机,授权作品,东方玄幻,8,37,8249,29453,0,0,37,29452,10
最强战王归来,签约作品,都市生活,34,184,37758,220627,0,26,674,575709,23
冒牌赘婿,签约作品,都市生活,94,320,8172,55086,0,5,1723,217958,104
我成了玉帝粉丝群管理,签约作品,都市异能,613,4266,20031,138959,26,120,6403,411423,81
我收购了天庭,签约作品,都市异能,14,108,8284,73675,0,0,172,113679,45
反派至尊,签约作品,异界大陆,44,266,13317,88581,0,63,6444,1017183,131
民国风云人物演义,签约作品,历史传奇,100,751,12147,78965,57,450,3149,349017,122
仙商赵子轩,驻站作品,都市生活,6,47,15413,94645,3,6,73,154665,42
鬼眼讼师,驻站作品,都市异能,8,17,14309,49023,0,0,17,50867,12
星河烁烁不如桃花灼灼,驻站作品,都市重生,1,32,14656,155385,0,0,34,165028,27
分割大陆成神的旅途,驻站作品,西方奇幻,13,90,12571,65718,0,3,90,65718,4
贩夫全神录,签约作品,东方玄幻,85,609,24008,173991,2,3,1584,728391,137
豪门医婿,签约作品,都市生活,246,498,24913,168555,0,0,525,201735,34
现代修真之剑符显圣,驻站作品,现代修真,7,53,13326,84222,0,8,53,84044,15
黑魔法使,签约作品,宅系小说,85,444,12244,82750,0,0,6271,812688,269
魔神净世,签约作品,东方玄幻,164,212,12280,91956,0,0,291,294674,34
何怜一片影,签约作品,校园风云,118,663,17326,118026,243,1128,5417,622351,15
太白诗赋,驻站作品,古典仙侠,4,4,9762,9762,0,0,4,9762,目前在拼命写作中
庭院里花开几时休,签约作品,乡村乡土,23,142,15206,105646,0,0,301,431549,27
珏玥,驻站作品,异界大陆,3,3,37666,37666,0,0,3,37666,1
无敌从老婆重生开始,签约作品,东方玄幻,13967,47095,16388,163650,192,815,95861,353294,17
无敌从神级掠夺开始,签约作品,东方玄幻,1166,4572,17430,161085,520,1241,50058,1368014,196
网游之神话时代,签约作品,都市重生,33,84,24142,62381,0,0,84,62381,10
技能再也不需要冷却,驻站作品,游戏异界,17,28,21080,63111,0,0,28,63111,5
我在王者荣耀捡彩蛋,签约作品,电子竞技,339,2474,20647,156365,28,36,6592,439311,30
都市逍遥医婿,签约作品,都市生活,4,222,16332,184889,0,0,473,393004,69
成首富从捡垃圾开始,签约作品,都市异能,76,645,17009,128029,9,31,8469,472174,26
恶灵循环,驻站作品,恐怖悬疑,11,21,3860,6930,0,0,21,6930,6
技能再也不需要冷却,驻站作品,游戏异界,17,28,21080,63111,0,0,28,63111,5
我在王者荣耀捡彩蛋,签约作品,电子竞技,339,2474,20647,156365,28,36,6592,439311,30
都市逍遥医婿,签约作品,都市生活,4,222,16332,184889,0,0,473,393004,69
成首富从捡垃圾开始,签约作品,都市异能,76,645,17009,128029,9,31,8469,472174,26
恶灵循环,驻站作品,恐怖悬疑,11,21,3860,6930,0,0,21,6930,6
我！万界至尊,签约作品,东方玄幻,3,47,20721,144558,0,0,56,154935,6
谍战上海滩红色特工,驻站作品,谍战特工,47,249,24817,138478,0,0,457,360569,64
仙灵战神,驻站作品,异世争霸,7,29,8096,24002,0,0,29,24002,目前在拼命写作中
系统：隋唐第一猛将,签约作品,历史穿越,71,583,27127,176887,0,0,767,379529,54
战神之君临天下,签约作品,都市生活,456,5659,18670,121488,0,5,5932,357855,63
我活了十万年,签约作品,都市异能,39,83,16420,45682,0,0,83,45646,10
看见罪恶在开花,签约作品,侦探推理,41,633,10093,75859,36,111,1090,134202,42
领主大人的异世界新娘,签约作品,异界大陆,9,122,12608,86677,0,0,2401,1089767,311
道家末裔,签约作品,探险揭秘,71,888,8401,64543,246,1307,3269,245182,28
老子不修仙了,驻站作品,异界大陆,6,27,13188,35230,0,0,27,35230,8
重生之末日崩塌,专属作品,异术超能,5,5,4776,4776,0,0,5,4800,1
六界之暗夜临前,驻站作品,东方玄幻,10,49,9902,54915,0,0,75,81408,10
贝兰德传说,签约作品,异界大陆,19,195,10825,74236,10,85,4028,1058729,17
炼帝无双,签约作品,东方玄幻,118,238,12563,86002,7,28,7207,1061711,87
都市之秩序神瞳,专属作品,都市异能,7,50,8203,55993,0,0,402,315888,114
六道轮回塔,驻站作品,洪荒封神,5,28,11626,43953,0,0,28,43953,10
重生三国之王侯,签约作品,历史穿越,28,214,20771,156262,0,21,365,437330,69
黎隐传奇,签约作品,热血青春,57,339,16325,110702,0,0,14831,2230477,464
抗战之开局让少帅下跪,签约作品,战争幻想,1110,4684,19145,133385,134,520,5090,144977,23
诸天从高武三国开始,签约作品,东方玄幻,37,133,8793,77651,0,0,133,76903,19
天师灵狐传,签约作品,都市异能,36,183,10344,47271,14,56,3704,719829,18
飞雪雁翎刀,驻站作品,东方玄幻,10,10,71860,71860,0,0,10,71860,2
古木幽幽,授权作品,民间奇谈,21,21,9176,9176,0,0,21,9176,2
武林奇案,授权作品,侦探推理,10,10,7731,7731,0,0,10,5208,1
从农民到亿万富翁,驻站作品,商业大亨,15,112,32671,108844,0,16,112,112395,21
西门庆之九世劫,签约作品,都市异能,49,1005,9413,70762,27,104,2091,113766,38
山听,授权作品,现代修真,2,14,1066,8661,0,0,418,129498,1
龙型魔导士,驻站作品,魔法校园,50,452,8171,61605,0,1,463,73783,22
末异示录最后圣都,驻站作品,宅系小说,8,8,9501,9501,0,0,8,9753,2
文艺时代的人生直播,签约作品,现实题材,14,120,16282,105599,7,14,880,666048,10
与小魔君互换身体,驻站作品,异界大陆,8,8,12711,12711,0,0,8,12711,1
一梦一天堂,驻站作品,民间奇谈,11,80,21339,140292,0,0,7416,1524284,4
武逆焚天,签约作品,东方玄幻,303,2092,22231,171889,780,2814,249496,11358366,2088
下岗裂变,驻站作品,职场励志,5,31,10163,56948,0,8,31,36667,目前在拼命写作中
长生仙婿,签约作品,都市重生,41,385,32404,218794,0,0,21405,1881231,17
怪物大师之伊洛维奇传,专属作品,异界大陆,9,27,7379,17425,0,0,27,17921,目前在拼命写作中
陌上尘飞,签约作品,现实题材,58,93,15982,81120,164,178,93,82392,6
君世无双,驻站作品,东方玄幻,6,104,10119,151586,0,0,108,210161,3
子色青春,签约作品,热血青春,8,92,18790,126019,0,2,28337,1718037,227
校园实录记,驻站作品,校园风云,6,6,14277,14277,7,7,6,14277,1
杀神重生之天下独尊,驻站作品,奇幻修真,33,33,6892,6892,2,2,33,5356,3
百花大帝,签约作品,异界大陆,26,155,8098,57029,0,0,62930,2852485,11
绝路2020,驻站作品,现实题材,7,7,4737,4737,0,0,7,4737,1
天师在人间,签约作品,东方玄幻,23,271,6158,53237,14,200,3680,252187,109
穿越之非凡大反派,专属作品,异界大陆,17,17,8165,8165,0,0,17,8165,3
玄天灵道,驻站作品,异界大陆,9,9,21721,21721,0,0,9,21717,2
一剑凡尘一剑仙,专属作品,异界大陆,5,75,5396,29465,0,0,75,30688,10
龙息的传人,专属作品,进化变异,4,42,9985,65575,0,0,116,116028,14
大道首徒,驻站作品,东方玄幻,8,61,27149,147181,0,0,277,742542,77
逆境修天,签约作品,异界大陆,12,70,13080,86807,7,21,10978,1910898,59
七曲恋爱往昔,驻站作品,都市生活,5,40,6936,54689,0,0,639,662949,90
逍遥小农民,签约作品,乡村乡土,320,6183,32714,219743,79,550,23947,451450,80
千里江珊图,专属作品,职场励志,40,40,14336,14336,0,0,40,14129,2
我是个好人啊,签约作品,东方玄幻,7,67,4617,26372,0,25,6443,202479,138
霸仙轮回决,签约作品,古典仙侠,27,463,8629,58694,23,184,1398,178709,64
霸仙轮回决,签约作品,古典仙侠,27,463,8629,58694,23,184,1398,178709,64
梦子纪元,专属作品,未来幻想,8,37,31248,41534,0,0,37,31248,3
穿越之永恒天帝,驻站作品,古典仙侠,10,60,11810,61516,5,22,88,80440,20
不要和我比天赋,签约作品,篮球风云,116,508,17124,132531,21,275,1159,224892,56
我这系统啥都能干,驻站作品,都市异能,5,71,8074,71989,0,0,178,180327,7
勇古记,驻站作品,西方奇幻,1,19,20856,154821,0,0,40,223761,38
理想中的异世界,授权作品,异界大陆,4,4,4599,4599,0,0,4,4599,目前在拼命写作中
情欲真人,驻站作品,现代修真,13,13,7115,7115,0,0,13,7123,2
黑殿王子,驻站作品,东方玄幻,0,32,10252,91332,0,0,32,91332,24
三国之梦幻军师,驻站作品,历史穿越,10,79,7617,56672,0,0,173,241926,2
天地涅圣诀,驻站作品,异界大陆,24,50,24845,78555,0,0,50,79446,10
你是我的小妖兽,驻站作品,异界大陆,13,42,12341,38829,0,0,42,38829,11
天间录,签约作品,都市异能,22,240,10309,183982,0,0,243,223312,27
修真至尊仙之旅,签约作品,奇幻修真,10,71,12804,86543,0,15,1751,959287,209
大跨界,签约作品,现实题材,38,911,12320,103162,15,72,1930,561452,11
春云淡似烟,驻站作品,古典仙侠,6,14,7841,23842,0,0,14,23842,1
邪灵战神,驻站作品,异界大陆,3,22,1983,14036,0,0,16309,1296024,目前在拼命写作中
寻迁录,签约作品,古典仙侠,146,1914,20373,65581,28,378,5121,439431,125
命中注定自破局,驻站作品,东方玄幻,6,6,1645,1645,0,0,6,1645,目前在拼命写作中
喋血飞鹰在行动,签约作品,奇幻修真,7,61,29194,136109,0,0,1316,1563146,3
全真教主,驻站作品,传统武侠,9,9,7807,7807,0,0,9,7807,1
太极宗师闯天下,驻站作品,现代修真,21,28,11990,17013,7,14,28,17013,5
灵魂流浪星球,签约作品,未来幻想,38,178,17472,117096,29,101,2320,1077359,251
最后的地方,签约作品,都市生活,21,111,5925,40041,0,0,1300,271616,163
惊魂之剑,签约作品,异界大陆,11,182,13104,90833,0,0,762,468412,115
重生之我是网文大佬,签约作品,都市生活,31,139,16939,45250,0,1,139,45240,3
人生二次,驻站作品,都市激战,3,6,16075,19792,0,0,6,19788,4
重生之顶级巨富,签约作品,商业大亨,150,1406,11000,98365,0,0,7199,395708,98
一点五十六,驻站作品,男生同人,5,5,2032,2032,0,0,5,2032,目前在拼命写作中
奋发图仙,专属作品,古典仙侠,7,7,8812,8812,0,0,7,8812,2
灵契之主,签约作品,东方玄幻,297,1837,21189,140849,288,1623,20494,1298927,175
第十四号仓库,签约作品,探险揭秘,30,278,8535,69895,7,24,686,423065,23
异界明道传,签约作品,游戏异界,18,163,15184,99603,0,0,2939,756286,189
天书启示录,驻站作品,奇幻修真,2,2,45851,45851,0,0,2,45851,目前在拼命写作中
笑个极简主义,驻站作品,校园风云,6,35,2887,23252,0,0,199,119835,目前在拼命写作中
阴阳命理师,签约作品,民间奇谈,13,124,7778,59800,0,0,433,181678,23
那些年混迹的我们,签约作品,都市生活,67,432,14064,85525,8,91,2572,389575,3
都市巅峰剑神,驻站作品,东方玄幻,10,10,3827,3827,0,0,10,3827,目前在拼命写作中
狂婿战神,签约作品,都市重生,308,1728,30184,211177,0,420,9131,1176942,169
天书启示录之乡村诡事,驻站作品,东方玄幻,134,395,24537,163181,2,2,422,137862,7
文娱：我真不想当明星啊,签约作品,娱乐明星,51,185,16867,109047,7,7,185,110797,16
守望寰宇,驻站作品,未来幻想,6,6,2389,2389,0,0,6,2389,目前在拼命写作中
食品123,驻站作品,萌系小说,3,13,6601,66774,0,0,13,66774,目前在拼命写作中
修神元王,专属作品,异界大陆,3,3,2052,2052,0,0,3,2052,目前在拼命写作中
九星耀月,驻站作品,异界大陆,5,21,7652,23122,0,0,21,23125,5
特种兵：从火蓝刀锋开始,签约作品,时空穿梭,183,1453,18252,113631,0,15,2473,323526,62
九色星海,专属作品,东方玄幻,0,6,4125,25821,0,0,52,148868,目前在拼命写作中
暗皇录,专属作品,东方玄幻,19,19,10660,10660,2,2,19,10757,3
奥特流浪记,驻站作品,时空穿梭,21,137,36425,238960,7,38,342,399648,21
复活券,专属作品,现代异侠,7,7,8980,8980,0,0,7,8980,3
今夜不设防,签约作品,现实题材,101,655,8198,124680,46,276,655,124654,24
正义的刀两面,驻站作品,宅系小说,26,101,113754,182347,0,0,156,142550,7
我一铲子下去灵气复苏,签约作品,奇幻修真,126,2740,18040,124291,63,395,7689,361358,31
超能世界zero,驻站作品,异术超能,5,12,7057,12557,0,0,12,12557,目前在拼命写作中
直播：我在山村的悠闲生活,签约作品,乡村乡土,134,1451,25156,163571,0,7,1770,185256,31
苍穹秘史,签约作品,异界大陆,18,95,23746,120558,21,63,161,226377,3
龙婿归来,签约作品,都市生活,114,522,30542,215448,121,434,2886,669929,98
