书名,授权级别,作品类别,本周点击,本月点击,本周更新,本月更新,周推荐票,月推荐票,人次,字数,更新天数
龙婿,签约作品,都市生活,105,887,19139,125607,0,0,131688,901354,21
剑神战,驻站作品,东方玄幻,5,16,4274,12863,0,0,16,14889,7
破绝一切,签约作品,东方玄幻,4,98,5487,60410,0,0,484,222427,40
听闻往殇,签约作品,异界大陆,8,58,20215,168583,0,0,695,481499,30
我真是大富豪,签约作品,都市生活,20,186,31138,92804,0,0,196,101287,29
春云暮雪,授权作品,东方玄幻,0,5,5758,46009,0,0,246,250688,2
英雄联盟之决胜巅峰,签约作品,电子竞技,4742,37620,6915,60243,65,235,2184964,8252617,13
镇灵石,驻站作品,异界大陆,3,29,9875,92139,0,0,29,91889,16
开局签到林正英,签约作品,男生同人,83,300,30341,252610,0,0,324,264135,30
法海的现代捉妖日常,驻站作品,爆笑幽默,12,12,7495,7495,0,0,12,7495,2
幽暗空识,驻站作品,异界大陆,0,0,556,556,0,0,0,556,目前在拼命写作中
空间之神与异界之火,驻站作品,末世危机,5,17,11665,43235,0,0,211,393019,2
都市：系统赐我lol技能,签约作品,都市异能,6,48,10607,62220,0,7,344,177535,22
罪因之惑,驻站作品,侦探推理,2,3,2933,2933,0,0,27,13542,1
幻之一想,驻站作品,男生同人,4,6,2745,2745,0,0,10,2745,1
万族战场,驻站作品,东方玄幻,4,15,8660,26111,0,0,15,26111,8
神宠进化,签约作品,东方玄幻,432,5751,12330,108361,0,0,10478,778540,92
狼烟传,专属作品,架空历史,5,45,10113,90885,0,0,132,234041,66
逆天之石,驻站作品,东方玄幻,4,13,61,590,0,0,334,72316,166
神位降临,驻站作品,异界大陆,2,2,1224,1224,0,0,2,1224,1
成天道后终于不用考试了,签约作品,异界大陆,17,102,10408,41472,23,60,102,39401,10
自在空,驻站作品,东方玄幻,1,8,5126,57278,0,0,48,327094,2
也许只是为了生活,驻站作品,都市生活,0,7,3195,37015,0,0,51,154881,目前在拼命写作中
我能无限创造绝世功法,驻站作品,东方玄幻,7,7,6043,6043,0,0,7,6043,1
我在末世种个田,签约作品,末世危机,26,208,10292,93879,0,0,225,136391,28
开局被女总裁逼婚,签约作品,都市生活,12,120,9081,66973,0,2,125,65121,26
也许真回不来了,驻站作品,时空穿梭,3,3,1184,1184,0,0,3,1184,1
阿卡伊的回应,驻站作品,恐怖悬疑,3,28,1319,25393,7,28,111,112373,1
心怀王者方能荣耀,驻站作品,电子竞技,14,19,6490,8809,0,0,19,8806,4
荣耀王者,签约作品,都市激战,91,202,24295,218092,0,0,1229,580908,95
末世无限进化,签约作品,末世危机,34,93,20706,82468,1,1,93,73042,10
龙八与李薇,驻站作品,都市激战,8,30,15158,23232,0,0,30,23300,3
破产户的穿越人生,驻站作品,架空历史,10,70,17,19834,0,0,70,20990,2
诸天最强炼气期,签约作品,奇幻修真,17,106,17363,55934,14,42,288,123023,目前在拼命写作中
剑仙某人,专属作品,奇幻修真,0,0,5136,5136,0,0,0,5136,1
都市捡漏王,签约作品,都市异能,35,341,24189,214663,0,0,4394,727456,133
癫神路,签约作品,异界大陆,0,33,8367,66475,0,126,33827,1315200,3
养蛇为祸,签约作品,民间奇谈,65,511,12464,105364,0,1,865,300753,110
斗罗打卡系统,授权作品,异界大陆,135,707,4848,62077,0,0,781,74481,36
猎妖使者,驻站作品,恐怖悬疑,9,32,4083,22414,0,0,32,22414,1
星球成长日记,驻站作品,星际战争,1,1,1345,1345,0,0,1,1345,1
